Formula,Energy,sigma bond length,Bond length,O sigma,Cation sigma,DeltaH,T/K
"['Ti', 'Pb', 'Ce', 'Rh']",-5580.153889447805,0.1353646338711858,2.117742015226737,0.5770305032733996,0.0623764662941188,0.330082399754418,2763.084532169013
"['Hf', 'Zr', 'Ce', 'Rh']",-6606.645059176783,0.092175993348158,2.12464282974221,0.553701515996429,0.0535175256939205,0.3321363112165363,2780.27760576411
"['Ti', 'Zr', 'Ru', 'Ir']",-6227.05530488979,0.074748435241432,2.0308536981234835,0.4399886831434465,0.0596280003818926,0.3323109175309184,2781.7392165826427
"['Hf', 'Ce', 'Ru', 'V']",-6451.029228514402,0.1280709453752631,2.082360577738921,0.44293311042777,0.078012468087075,0.3358745224237571,2811.569772727079
"['Hf', 'Zr', 'Ru', 'Ir']",-6457.571042697269,0.0589144816089059,2.05719366768314,0.5164801029522671,0.0644319430512052,0.337175916169631,2822.463600850484
"['Ge', 'Ti', 'Sn', 'Ce']",-5751.738381474207,0.147834105909984,2.068037583267505,0.3073187525236843,0.067593156865859,0.3384530374553707,2833.154246801181
"['Zr', 'Ce', 'Ir', 'V']",-6247.8194941678175,0.1296304413717974,2.092979594055788,0.4478096057190816,0.0869041314881458,0.3446027128717182,2884.632523235829
"['Ge', 'Ce', 'Rh', 'V']",-5555.956858189051,0.153631907426738,2.036924841316508,0.3283499452260481,0.0896628893037941,0.3448108719983809,2886.375001064212
"['Hf', 'Zr', 'Ce', 'Ru']",-6781.415050465152,0.1044196889609257,2.1255916992417028,0.48021977345284,0.0557159532194432,0.3457133273956332,2893.929358857828
"['Hf', 'Ce', 'Ir', 'V']",-6379.323382866874,0.1210492118703726,2.083543966223788,0.4426466320741942,0.0780224203871723,0.3458922971262756,2895.427495368083
"['Ti', 'Ce', 'Rh', 'Pt']",-5657.082567730531,0.11250575359784,2.0743593758393346,0.515460976384612,0.0636068548202393,0.346107537373082,2897.229248497281
"['Ti', 'Ce', 'Ru', 'V']",-6216.172568070373,0.139690598331072,2.056227148590703,0.3349908164127776,0.0758896598528414,0.3479662528340688,2912.7883572040078
"['Sn', 'Ce', 'Ir', 'V']",-5627.800615377946,0.1205545688252567,2.0871476745330098,0.2930007897518585,0.0801657689227961,0.3486690058925559,2918.671028037971
