Formula,sigma bond length_aPbO2,Cation sigma_aPbO2,DeltaH_aPbO2,sigma bond length_bad,Cation sigma_bad,DeltaH_bad,sigma bond length_rut,Cation sigma_rut,DeltaH_rut,rho_aPbO2,rho_bad,rho_rut,Min_rho,Min_Crystal_rho,Min_Crystal_DeltaH,Min_Crystal_sigma
"['Mn', 'Nb', 'Ru', 'Zr']",0.1076694936131717,0.0819172108489608,0.2329138012839724,,,,0.0814655720393068,0.0840399735440112,0.2318244896404468,2.9246718879954563,,2.9504873919349537,2.9246718879954563,aPbO2,rut,aPbO2
"['Ce', 'Hf', 'Mn', 'Sn']",0.1128934554188654,0.0654860934622664,0.2646024148309447,0.1126941757535721,0.0738991399023506,0.2575636269304997,0.095942078897696,0.0626349599060714,0.2745391219484805,2.9326039880617922,2.988071106713357,2.9784788741009427,2.9326039880617922,aPbO2,bad,rut
"['Ce', 'Ge', 'Hf', 'Zr']",0.168201965552783,0.0733749233132653,0.2608880766066921,0.174911544691006,0.0705491901576206,0.2570284007385606,0.1217381742950333,0.0601908850502605,0.3257641622708487,3.0063775831911896,2.9383954166853297,3.38085771280427,2.9383954166853297,bad,bad,rut
"['Nb', 'Pb', 'Ti', 'V']",,,,,,,0.1565685036489544,0.0909972871052643,0.2132455391426431,,,2.9413769615546013,2.9413769615546013,rut,rut,rut
"['Ir', 'Nb', 'Pb', 'Pt']",,,,0.1199828141127721,0.0923558874560962,0.2630825779722183,0.1341402640896938,0.0721448027207695,0.2547312435981705,,3.3008133531907204,2.9422733712034272,2.9422733712034272,rut,rut,rut
"['Ir', 'Nb', 'Rh', 'V']",,,,0.0626771394034279,0.0561986183715088,0.3068827501277189,0.0595786167225738,0.0632121621539962,0.2693840664690397,,3.179918098698127,2.94334251562236,2.94334251562236,rut,rut,bad
"['Nb', 'Pb', 'V', 'Zr']",,,,,,,0.1836048498765009,0.1077457933280319,0.1576128434570654,,,2.946124013747166,2.946124013747166,rut,rut,rut
"['Ce', 'Hf', 'Sn', 'V']",0.1201738658577395,0.0620860925321103,0.2820092830730916,0.1222339215213565,0.0628242118541179,0.2705644192607908,0.1053522767041483,0.0671978461490974,0.286478666501023,3.0334383576433726,2.948302939449224,3.1298142491803196,2.948302939449224,bad,bad,aPbO2
"['Ce', 'Hf', 'V', 'Zr']",0.131539748128494,0.0775060973970192,0.2467130982565395,,,,0.1095468189623834,0.0719995950697806,0.300061579263521,2.9577263322372445,,3.2977274416526976,2.9577263322372445,aPbO2,aPbO2,rut
"['Ce', 'Pt', 'Ti', 'Zr']",0.1215351889078554,0.0660861461423915,0.2675324309505136,0.1229573477065025,0.0642049880496006,0.2733498684329234,0.1057864046684965,0.0691675526971358,0.2693045768075244,2.9635200678512654,2.9874196055779603,3.0165096250375334,2.9635200678512654,aPbO2,aPbO2,bad
"['Nb', 'Rh', 'Sn', 'Ti']",0.0903069496793532,0.0530614724921838,0.2861721529022807,0.0891873810431891,0.0566635677410499,0.288185820634502,0.0803874757648222,0.0801650569180323,0.2422608082905624,2.9718120497895013,3.02567793085831,2.9646309536743702,2.9646309536743702,rut,rut,aPbO2
"['Hf', 'Nb', 'Pb', 'V']",,,,,,,0.1528145711379829,0.1000189922528803,0.1905147195459937,,,2.9663916022946486,2.9663916022946486,rut,rut,rut
